Date,Component,Type,Event,Event ID
2025-02-11 04:10:28,sflib,STATUS,sfp_binstring module loaded.,27
2025-02-11 04:10:28,sflib,STATUS,sfp_bitcoin module loaded.,28
2025-02-11 04:10:28,sflib,STATUS,sfp_bitcoinabuse module loaded.,29
2025-02-11 04:10:28,sflib,STATUS,sfp_bitcoinwhoswho module loaded.,30
2025-02-11 04:10:28,sflib,STATUS,sfp_blockchain module loaded.,31
2025-02-11 04:10:28,sflib,STATUS,sfp_blocklistde module loaded.,32
2025-02-11 04:10:28,sflib,STATUS,sfp_botscout module loaded.,33
2025-02-11 04:10:28,sflib,STATUS,sfp_botvrij module loaded.,34
2025-02-11 04:10:28,sflib,STATUS,sfp_builtwith module loaded.,35
2025-02-11 04:10:28,sflib,STATUS,sfp_c99 module loaded.,36
2025-02-11 04:10:28,sflib,STATUS,sfp_callername module loaded.,37
2025-02-11 04:10:28,sflib,STATUS,sfp_censys module loaded.,38
2025-02-11 04:10:28,sflib,STATUS,sfp_certspotter module loaded.,39
2025-02-11 04:10:28,sflib,STATUS,sfp_cinsscore module loaded.,40
2025-02-11 04:10:28,sflib,STATUS,sfp_circllu module loaded.,41
2025-02-11 04:10:29,sflib,STATUS,sfp_citadel module loaded.,42
2025-02-11 04:10:29,sflib,STATUS,sfp_cleanbrowsing module loaded.,43
2025-02-11 04:10:29,sflib,STATUS,sfp_cleantalk module loaded.,44
2025-02-11 04:10:29,sflib,STATUS,sfp_clearbit module loaded.,45
2025-02-11 04:10:29,sflib,STATUS,sfp_cloudflaredns module loaded.,46
2025-02-11 04:10:29,sflib,STATUS,sfp_coinblocker module loaded.,47
2025-02-11 04:10:29,sflib,STATUS,sfp_commoncrawl module loaded.,48
2025-02-11 04:10:29,sflib,STATUS,sfp_comodo module loaded.,49
2025-02-11 04:10:29,sflib,STATUS,sfp_company module loaded.,50
2025-02-11 04:10:29,sflib,STATUS,sfp_cookie module loaded.,51
2025-02-11 04:10:29,sflib,STATUS,sfp_countryname module loaded.,52
2025-02-11 04:10:29,sflib,STATUS,sfp_creditcard module loaded.,53
2025-02-11 04:10:29,sflib,STATUS,sfp_crobat_api module loaded.,54
2025-02-11 04:10:29,sflib,STATUS,sfp_crossref module loaded.,55
2025-02-11 04:10:29,sflib,STATUS,sfp_crt module loaded.,56
2025-02-11 04:10:29,sflib,STATUS,sfp_crxcavator module loaded.,57
2025-02-11 04:10:29,sflib,STATUS,sfp_customfeed module loaded.,58
2025-02-11 04:10:29,sflib,STATUS,sfp_cybercrimetracker module loaded.,59
2025-02-11 04:10:29,sflib,STATUS,sfp_darksearch module loaded.,60
2025-02-11 04:10:29,sflib,STATUS,sfp_debounce module loaded.,61
2025-02-11 04:10:29,sflib,STATUS,sfp_dehashed module loaded.,62
2025-02-11 04:10:29,sflib,STATUS,sfp_digitaloceanspace module loaded.,63
2025-02-11 04:10:29,sflib,STATUS,sfp_dns_for_family module loaded.,64
2025-02-11 04:10:29,sflib,STATUS,sfp_dnsbrute module loaded.,65
2025-02-11 04:10:29,sflib,STATUS,sfp_dnscommonsrv module loaded.,66
2025-02-11 04:10:29,sflib,STATUS,sfp_dnsdb module loaded.,67
2025-02-11 04:10:29,sfp_dnsdumpster,DEBUG,Setting up sfp_dnsdumpster,68
2025-02-11 04:10:29,sflib,STATUS,sfp_dnsdumpster module loaded.,69
2025-02-11 04:10:29,sflib,STATUS,sfp_dnsgrep module loaded.,70
2025-02-11 04:10:29,sflib,STATUS,sfp_dnsneighbor module loaded.,71
2025-02-11 04:10:29,sflib,STATUS,sfp_dnsraw module loaded.,72
2025-02-11 04:10:29,sfp_dnsresolve,STATUS,Identifying aliases for specified target(s),73
2025-02-11 04:10:29,sfp_dnsresolve,DEBUG,Found an alias: 18.235.237.96,74
2025-02-11 04:10:29,sfp_dnsresolve,DEBUG,Found an alias: ec2-18-235-237-96.compute-1.amazonaws.com,75
2025-02-11 04:10:29,sfp_dnsresolve,STATUS,"Target aliases identified: [{'type': 'IP_ADDRESS', 'value': '18.235.237.96'}, {'type': 'INTERNET_NAME', 'value': 'ec2-18-235-237-96.compute-1.amazonaws.com'}]",76
2025-02-11 04:10:29,sflib,STATUS,sfp_dnsresolve module loaded.,77
2025-02-11 04:10:29,sflib,STATUS,sfp_dnszonexfer module loaded.,78
2025-02-11 04:10:29,sflib,STATUS,sfp_dronebl module loaded.,79
2025-02-11 04:10:29,sflib,STATUS,sfp_duckduckgo module loaded.,80
2025-02-11 04:10:29,sflib,STATUS,sfp_email module loaded.,81
2025-02-11 04:10:29,sflib,STATUS,sfp_emailcrawlr module loaded.,82
2025-02-11 04:10:29,sflib,STATUS,sfp_emailformat module loaded.,83
2025-02-11 04:10:29,sflib,STATUS,sfp_emailrep module loaded.,84
2025-02-11 04:10:29,sflib,STATUS,sfp_emergingthreats module loaded.,85
2025-02-11 04:10:29,sflib,STATUS,sfp_errors module loaded.,86
2025-02-11 04:10:29,sflib,STATUS,sfp_ethereum module loaded.,87
2025-02-11 04:10:29,sflib,STATUS,sfp_etherscan module loaded.,88
2025-02-11 04:10:29,sflib,STATUS,sfp_filemeta module loaded.,89
2025-02-11 04:10:29,sflib,STATUS,sfp_flickr module loaded.,90
2025-02-11 04:10:29,sflib,STATUS,sfp_focsec module loaded.,91
2025-02-11 04:10:29,sflib,STATUS,sfp_fortinet module loaded.,92
2025-02-11 04:10:29,sflib,STATUS,sfp_fraudguard module loaded.,93
2025-02-11 04:10:29,sflib,STATUS,sfp_fsecure_riddler module loaded.,94
2025-02-11 04:10:29,sflib,STATUS,sfp_fullcontact module loaded.,95
2025-02-11 04:10:29,sflib,STATUS,sfp_fullhunt module loaded.,96
2025-02-11 04:10:29,sflib,STATUS,sfp_github module loaded.,97
2025-02-11 04:10:29,sflib,STATUS,sfp_gleif module loaded.,98
2025-02-11 04:10:29,sflib,STATUS,sfp_googlemaps module loaded.,99
2025-02-11 04:10:29,sflib,STATUS,sfp_googleobjectstorage module loaded.,100
2025-02-11 04:10:29,sflib,STATUS,sfp_googlesafebrowsing module loaded.,101
2025-02-11 04:10:29,sflib,STATUS,sfp_googlesearch module loaded.,102
2025-02-11 04:10:30,sflib,STATUS,sfp_gravatar module loaded.,103
2025-02-11 04:10:30,sflib,STATUS,sfp_grayhatwarfare module loaded.,104
2025-02-11 04:10:30,sflib,STATUS,sfp_greensnow module loaded.,105
2025-02-11 04:10:30,sflib,STATUS,sfp_grep_app module loaded.,106
2025-02-11 04:10:30,sflib,STATUS,sfp_greynoise module loaded.,107
2025-02-11 04:10:30,sflib,STATUS,sfp_h1nobbdde module loaded.,108
2025-02-11 04:10:30,sflib,STATUS,sfp_hackertarget module loaded.,109
2025-02-11 04:10:30,sflib,STATUS,sfp_hashes module loaded.,110
2025-02-11 04:10:30,sflib,STATUS,sfp_haveibeenpwned module loaded.,111
2025-02-11 04:10:30,sflib,STATUS,sfp_honeypot module loaded.,112
2025-02-11 04:10:30,sflib,STATUS,sfp_hosting module loaded.,113
2025-02-11 04:10:30,sflib,STATUS,sfp_hostio module loaded.,114
2025-02-11 04:10:30,sflib,STATUS,sfp_hunter module loaded.,115
2025-02-11 04:10:30,sflib,STATUS,sfp_hybrid_analysis module loaded.,116
2025-02-11 04:10:30,sflib,STATUS,sfp_iban module loaded.,117
2025-02-11 04:10:30,sflib,STATUS,sfp_iknowwhatyoudownload module loaded.,118
2025-02-11 04:10:30,sflib,STATUS,sfp_instagram module loaded.,119
2025-02-11 04:10:30,sflib,STATUS,sfp_intelx module loaded.,120
2025-02-11 04:10:30,sflib,STATUS,sfp_intfiles module loaded.,121
2025-02-11 04:10:30,sflib,STATUS,sfp_ipapico module loaded.,122
2025-02-11 04:10:30,sflib,STATUS,sfp_ipapicom module loaded.,123
2025-02-11 04:10:30,sflib,STATUS,sfp_ipinfo module loaded.,124
2025-02-11 04:10:30,sflib,STATUS,sfp_ipqualityscore module loaded.,125
2025-02-11 04:10:30,sflib,STATUS,sfp_ipregistry module loaded.,126
2025-02-11 04:10:30,sflib,STATUS,sfp_ipstack module loaded.,127
2025-02-11 04:10:30,sflib,STATUS,sfp_isc module loaded.,128
2025-02-11 04:10:30,sflib,STATUS,sfp_jsonwhoiscom module loaded.,129
2025-02-11 04:10:30,sflib,STATUS,sfp_junkfiles module loaded.,130
2025-02-11 04:10:30,sflib,STATUS,sfp_keybase module loaded.,131
2025-02-11 04:10:30,sflib,STATUS,sfp_koodous module loaded.,132
2025-02-11 04:10:30,sflib,STATUS,sfp_leakix module loaded.,133
2025-02-11 04:10:30,sflib,STATUS,sfp_maltiverse module loaded.,134
2025-02-11 04:10:30,sflib,STATUS,sfp_malwarepatrol module loaded.,135
2025-02-11 04:10:30,sflib,STATUS,sfp_metadefender module loaded.,136
2025-02-11 04:10:30,sflib,STATUS,sfp_mnemonic module loaded.,137
2025-02-11 04:10:30,sflib,STATUS,sfp_multiproxy module loaded.,138
2025-02-11 04:10:30,sflib,STATUS,sfp_myspace module loaded.,139
2025-02-11 04:10:30,sflib,STATUS,sfp_nameapi module loaded.,140
2025-02-11 04:10:31,sflib,STATUS,sfp_names module loaded.,141
2025-02-11 04:10:31,sflib,STATUS,sfp_networksdb module loaded.,142
2025-02-11 04:10:31,sflib,STATUS,sfp_neutrinoapi module loaded.,143
2025-02-11 04:10:31,sflib,STATUS,sfp_numverify module loaded.,144
2025-02-11 04:10:31,sflib,STATUS,sfp_onioncity module loaded.,145
2025-02-11 04:10:31,sflib,STATUS,sfp_onionsearchengine module loaded.,146
2025-02-11 04:10:31,sflib,STATUS,sfp_onyphe module loaded.,147
2025-02-11 04:10:31,sflib,STATUS,sfp_open_passive_dns_database module loaded.,148
2025-02-11 04:10:31,sflib,STATUS,sfp_openbugbounty module loaded.,149
2025-02-11 04:10:31,sflib,STATUS,sfp_opencorporates module loaded.,150
2025-02-11 04:10:31,sflib,STATUS,sfp_opendns module loaded.,151
2025-02-11 04:10:31,sflib,STATUS,sfp_opennic module loaded.,152
2025-02-11 04:10:31,sflib,STATUS,sfp_openphish module loaded.,153
2025-02-11 04:10:31,sflib,STATUS,sfp_openstreetmap module loaded.,154
2025-02-11 04:10:31,sflib,STATUS,sfp_pageinfo module loaded.,155
2025-02-11 04:10:31,sflib,STATUS,sfp_pastebin module loaded.,156
2025-02-11 04:10:31,sflib,STATUS,sfp_pgp module loaded.,157
2025-02-11 04:10:31,sflib,STATUS,sfp_phishstats module loaded.,158
2025-02-11 04:10:31,sflib,STATUS,sfp_phishtank module loaded.,159
2025-02-11 04:10:31,sflib,STATUS,sfp_phone module loaded.,160
2025-02-11 04:10:31,sflib,STATUS,sfp_portscan_tcp module loaded.,161
2025-02-11 04:10:31,sflib,STATUS,sfp_projectdiscovery module loaded.,162
2025-02-11 04:10:31,sflib,STATUS,sfp_psbdmp module loaded.,163
2025-02-11 04:10:31,sflib,STATUS,sfp_pulsedive module loaded.,164
2025-02-11 04:10:31,sflib,STATUS,sfp_punkspider module loaded.,165
2025-02-11 04:10:31,sflib,STATUS,sfp_quad9 module loaded.,166
2025-02-11 04:10:31,sflib,STATUS,sfp_recondev module loaded.,167
2025-02-11 04:10:31,sflib,STATUS,sfp_reversewhois module loaded.,168
2025-02-11 04:10:31,sflib,STATUS,sfp_ripe module loaded.,169
2025-02-11 04:10:31,sflib,STATUS,sfp_riskiq module loaded.,170
2025-02-11 04:10:31,sflib,STATUS,sfp_robtex module loaded.,171
2025-02-11 04:10:31,sflib,STATUS,sfp_s3bucket module loaded.,172
2025-02-11 04:10:31,sflib,STATUS,sfp_scylla module loaded.,173
2025-02-11 04:10:31,sflib,STATUS,sfp_searchcode module loaded.,174
2025-02-11 04:10:31,sflib,STATUS,sfp_securitytrails module loaded.,175
2025-02-11 04:10:31,sflib,STATUS,sfp_seon module loaded.,176
2025-02-11 04:10:31,sflib,STATUS,sfp_shodan module loaded.,177
2025-02-11 04:10:31,sflib,STATUS,sfp_similar module loaded.,178
2025-02-11 04:10:31,sflib,STATUS,sfp_skymem module loaded.,179
2025-02-11 04:10:31,sflib,STATUS,sfp_slideshare module loaded.,180
2025-02-11 04:10:31,sflib,STATUS,sfp_snov module loaded.,181
2025-02-11 04:10:31,sflib,STATUS,sfp_social module loaded.,182
2025-02-11 04:10:31,sflib,STATUS,sfp_sociallinks module loaded.,183
2025-02-11 04:10:31,sflib,STATUS,sfp_socialprofiles module loaded.,184
2025-02-11 04:10:31,sflib,STATUS,sfp_sorbs module loaded.,185
2025-02-11 04:10:31,sflib,STATUS,sfp_spamcop module loaded.,186
2025-02-11 04:10:31,sflib,STATUS,sfp_spamhaus module loaded.,187
2025-02-11 04:10:31,sflib,STATUS,sfp_spider module loaded.,188
2025-02-11 04:10:31,sflib,STATUS,sfp_spur module loaded.,189
2025-02-11 04:10:31,sflib,STATUS,sfp_spyonweb module loaded.,190
2025-02-11 04:10:31,sflib,STATUS,sfp_spyse module loaded.,191
2025-02-11 04:10:31,sflib,STATUS,sfp_sslcert module loaded.,192
2025-02-11 04:10:31,sflib,STATUS,sfp_stackoverflow module loaded.,193
2025-02-11 04:10:31,sflib,STATUS,sfp_stevenblack_hosts module loaded.,194
2025-02-11 04:10:31,sflib,STATUS,sfp_strangeheaders module loaded.,195
2025-02-11 04:10:31,sflib,STATUS,"Fetching (GET): https://raw.githubusercontent.com/haccer/subjack/master/fingerprints.json (proxy=None, user-agent=SpiderFoot, timeout=30, cookies=None)",196
2025-02-11 04:10:34,sflib,STATUS,Fetched https://raw.githubusercontent.com/haccer/subjack/master/fingerprints.json (6039 bytes in 2.828601837158203s),197
2025-02-11 04:10:34,sflib,STATUS,sfp_subdomain_takeover module loaded.,198
2025-02-11 04:10:34,sfp_sublist3r,DEBUG,Setting up sfp_sublist3r,199
2025-02-11 04:10:34,sflib,STATUS,sfp_sublist3r module loaded.,200
2025-02-11 04:10:34,sflib,STATUS,sfp_surbl module loaded.,201
2025-02-11 04:10:34,sflib,STATUS,sfp_talosintel module loaded.,202
2025-02-11 04:10:34,sflib,STATUS,sfp_textmagic module loaded.,203
2025-02-11 04:10:34,sflib,STATUS,sfp_threatcrowd module loaded.,204
2025-02-11 04:10:34,sflib,STATUS,sfp_threatfox module loaded.,205
2025-02-11 04:10:34,sflib,STATUS,sfp_threatminer module loaded.,206
2025-02-11 04:10:34,sflib,STATUS,sfp_tldsearch module loaded.,207
2025-02-11 04:10:34,sflib,STATUS,sfp_tool_cmseek module loaded.,208
2025-02-11 04:10:34,sflib,STATUS,sfp_tool_dnstwist module loaded.,209
2025-02-11 04:10:34,sflib,STATUS,sfp_tool_nbtscan module loaded.,210
2025-02-11 04:10:34,sflib,STATUS,sfp_tool_nmap module loaded.,211
2025-02-11 04:10:34,sflib,STATUS,sfp_tool_nuclei module loaded.,212
2025-02-11 04:10:34,sflib,STATUS,sfp_tool_onesixtyone module loaded.,213
2025-02-11 04:10:34,sflib,STATUS,sfp_tool_retirejs module loaded.,214
2025-02-11 04:10:34,sflib,STATUS,sfp_tool_snallygaster module loaded.,215
2025-02-11 04:10:34,sflib,STATUS,sfp_tool_testsslsh module loaded.,216
2025-02-11 04:10:35,sflib,STATUS,sfp_tool_trufflehog module loaded.,217
2025-02-11 04:10:35,sflib,STATUS,sfp_tool_wafw00f module loaded.,218
2025-02-11 04:10:35,sflib,STATUS,sfp_tool_wappalyzer module loaded.,219
2025-02-11 04:10:35,sflib,STATUS,sfp_tool_whatweb module loaded.,220
2025-02-11 04:10:35,sflib,STATUS,sfp_torch module loaded.,221
2025-02-11 04:10:35,sflib,STATUS,sfp_torexits module loaded.,222
2025-02-11 04:10:35,sflib,STATUS,sfp_trashpanda module loaded.,223
2025-02-11 04:10:35,sflib,STATUS,sfp_trumail module loaded.,224
2025-02-11 04:10:35,sflib,STATUS,sfp_twilio module loaded.,225
2025-02-11 04:10:35,sflib,STATUS,sfp_twitter module loaded.,226
2025-02-11 04:10:35,sflib,STATUS,sfp_uceprotect module loaded.,227
2025-02-11 04:10:35,sflib,STATUS,sfp_urlscan module loaded.,228
2025-02-11 04:10:35,sflib,STATUS,sfp_venmo module loaded.,229
2025-02-11 04:10:35,sflib,STATUS,sfp_viewdns module loaded.,230
2025-02-11 04:10:35,sflib,STATUS,sfp_virustotal module loaded.,231
2025-02-11 04:10:35,sflib,STATUS,sfp_voipbl module loaded.,232
2025-02-11 04:10:35,sflib,STATUS,sfp_vxvault module loaded.,233
2025-02-11 04:10:35,sflib,STATUS,sfp_webanalytics module loaded.,234
2025-02-11 04:10:35,sflib,STATUS,sfp_webframework module loaded.,235
2025-02-11 04:10:35,sflib,STATUS,sfp_webserver module loaded.,236
2025-02-11 04:10:35,sflib,STATUS,sfp_whatcms module loaded.,237
2025-02-11 04:10:35,sflib,STATUS,sfp_whois module loaded.,238
2025-02-11 04:10:35,sflib,STATUS,sfp_whoisology module loaded.,239
2025-02-11 04:10:35,sflib,STATUS,sfp_whoxy module loaded.,240
2025-02-11 04:10:35,sflib,STATUS,sfp_wigle module loaded.,241
2025-02-11 04:10:35,sflib,STATUS,sfp_wikileaks module loaded.,242
2025-02-11 04:10:35,sflib,STATUS,sfp_wikipediaedits module loaded.,243
2025-02-11 04:10:35,sflib,STATUS,sfp_xforce module loaded.,244
2025-02-11 04:10:35,sflib,STATUS,sfp_yandexdns module loaded.,245
2025-02-11 04:10:35,sflib,STATUS,sfp_zetalytics module loaded.,246
2025-02-11 04:10:35,sflib,STATUS,sfp_zoneh module loaded.,247
2025-02-11 04:10:35,sfp_voipbl,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",248
2025-02-11 04:10:35,sfp_voipbl,DEBUG,Checking maliciousness of 18.235.237.96 (IP_ADDRESS) with VoIP Blacklist (VoIPBL),249
2025-02-11 04:10:35,sflib,STATUS,"Fetching (GET): https://voipbl.org/update (proxy=None, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0, timeout=5, cookies=None)",250
2025-02-11 04:10:35,sfp_xforce,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",251
2025-02-11 04:10:35,sfp_xforce,ERROR,You enabled sfp_xforce but did not set an API key/password!,252
2025-02-11 04:10:35,sfp_wikipediaedits,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",253
2025-02-11 04:10:35,sfp_torexits,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",254
2025-02-11 04:10:35,sflib,STATUS,"Fetching (GET): https://onionoo.torproject.org/details?search=flag:exit (proxy=None, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0, timeout=5, cookies=None)",255
2025-02-11 04:10:35,sflib,STATUS,"Fetching (GET): https://en.wikipedia.org/w/api.php?action=feedcontributions&user=XXX (proxy=None, user-agent=SpiderFoot, timeout=5, cookies=None)",256
2025-02-11 04:10:35,sfp__stor_db,DEBUG,Storing an event: ROOT,257
2025-02-11 04:10:35,sfp__stor_db,DEBUG,Storing an event: IP_ADDRESS,258
2025-02-11 04:10:45,sflib,ERROR,Failed to connect to https://voipbl.org/update,259
2025-02-11 04:10:45,sfp_voipbl,ERROR,Unexpected HTTP response code None from VoIP Blacklist (VoIPBL).,260
2025-02-11 04:10:45,sfp_vxvault,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",261
2025-02-11 04:10:45,sfp_vxvault,DEBUG,Checking maliciousness of 18.235.237.96 (IP_ADDRESS) with VXVault.net,262
2025-02-11 04:10:45,sflib,STATUS,"Fetching (GET): http://vxvault.net/URL_List.php (proxy=None, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0, timeout=10, cookies=None)",263
2025-02-11 04:10:45,sflib,ERROR,Failed to connect to https://en.wikipedia.org/w/api.php?action=feedcontributions&user=18.235.237.96&year=2024&month=02,264
2025-02-11 04:10:45,sfp_wikipediaedits,DEBUG,No results from Wikipedia for 18.235.237.96,265
2025-02-11 04:10:45,sfp_zoneh,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",266
2025-02-11 04:10:45,sflib,STATUS,"Fetching (GET): https://www.zone-h.org/rss/specialdefacements (proxy=None, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0, timeout=30, cookies=None)",267
2025-02-11 04:10:45,sflib,ERROR,Failed to connect to https://onionoo.torproject.org/details?search=flag:exit,268
2025-02-11 04:10:45,sfp_torexits,ERROR,Unexpected HTTP response code None from onionoo.torproject.org.,269
2025-02-11 04:10:45,sfp_virustotal,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",270
2025-02-11 04:10:45,sfp_virustotal,ERROR,You enabled sfp_virustotal but did not set an API key!,271
2025-02-11 04:10:45,sfp_uceprotect,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",272
2025-02-11 04:10:45,sfp_uceprotect,DEBUG,Checking UCEPROTECT blacklist: 96.237.235.18.dnsbl-1.uceprotect.net,273
2025-02-11 04:10:46,sflib,STATUS,Fetched http://vxvault.net/URL_List.php (4265 bytes in 1.187889814376831s),274
2025-02-11 04:10:46,sfp_viewdns,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",275
2025-02-11 04:10:46,sfp_viewdns,ERROR,You enabled sfp_viewdns but did not set an API key!,276
2025-02-11 04:10:46,sfp_abusech,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",277
2025-02-11 04:10:46,sfp_abusech,DEBUG,Checking maliciousness of 18.235.237.96 (IP_ADDRESS) with Abuse.ch Feodo Tracker,278
2025-02-11 04:10:46,sflib,STATUS,"Fetching (GET): https://feodotracker.abuse.ch/downloads/ipblocklist.txt (proxy=None, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0, timeout=5, cookies=None)",279
2025-02-11 04:10:47,sflib,STATUS,Fetched https://feodotracker.abuse.ch/downloads/ipblocklist.txt (532 bytes in 0.9220767021179199s),280
2025-02-11 04:10:47,sfp_abusech,DEBUG,Checking maliciousness of 18.235.237.96 (IP_ADDRESS) with Abuse.ch SSL Blacklist,281
2025-02-11 04:10:47,sflib,STATUS,"Fetching (GET): https://sslbl.abuse.ch/blacklist/sslipblacklist.csv (proxy=None, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0, timeout=5, cookies=None)",282
2025-02-11 04:10:48,sflib,STATUS,Fetched https://sslbl.abuse.ch/blacklist/sslipblacklist.csv (545 bytes in 0.3273627758026123s),283
2025-02-11 04:10:48,sfp_abusech,DEBUG,Checking maliciousness of 18.235.237.96 (IP_ADDRESS) with Abuse.ch URL Haus,284
2025-02-11 04:10:48,sflib,STATUS,"Fetching (GET): https://urlhaus.abuse.ch/downloads/csv_recent/ (proxy=None, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0, timeout=5, cookies=None)",285
2025-02-11 04:10:50,sflib,STATUS,Fetched https://urlhaus.abuse.ch/downloads/csv_recent/ (7294741 bytes in 2.0654823780059814s),286
2025-02-11 04:10:50,sfp_abuseipdb,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",287
2025-02-11 04:10:50,sfp_abuseipdb,ERROR,You enabled sfp_abuseipdb but did not set an API key!,288
2025-02-11 04:10:50,sfp_abstractapi,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",289
2025-02-11 04:10:50,sfp_abstractapi,ERROR,You enabled sfp_abstractapi but did not set any API keys!,290
2025-02-11 04:10:50,sfp_abusix,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",291
2025-02-11 04:10:50,sfp_abusix,ERROR,You enabled sfp_abusix but did not set an API key!,292
2025-02-11 04:10:50,sfp_bgpview,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",293
2025-02-11 04:10:50,sflib,STATUS,"Fetching (GET): https://api.bgpview.io/ip/18.235.237.96 (proxy=None, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0, timeout=5, cookies=None)",294
2025-02-11 04:10:51,sfp_uceprotect,DEBUG,Checking UCEPROTECT blacklist: 96.237.235.18.dnsbl-2.uceprotect.net,295
2025-02-11 04:10:51,sfp_alienvaultiprep,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",296
2025-02-11 04:10:51,sfp_alienvaultiprep,DEBUG,Checking maliciousness of 18.235.237.96 (IP_ADDRESS) with AlienVault IP Reputation Database,297
2025-02-11 04:10:51,sflib,STATUS,"Fetching (GET): https://reputation.alienvault.com/reputation.generic (proxy=None, user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:62.0) Gecko/20100101 Firefox/62.0, timeout=5, cookies=None)",298
2025-02-11 04:10:52,sflib,STATUS,Fetched https://www.zone-h.org/rss/specialdefacements (8044 bytes in 6.412214040756226s),299
2025-02-11 04:10:52,sfp_alienvault,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",300
2025-02-11 04:10:52,sfp_alienvault,ERROR,You enabled sfp_alienvault but did not set an API key!,301
2025-02-11 04:10:52,sfp_censys,DEBUG,"Received event, IP_ADDRESS, from SpiderFoot UI",302
2025-02-11 04:10:52,sfp_censys,ERROR,You enabled sfp_censys but did not set an API uid/secret!,303
